precinct,Joseph R. Biden - DEM,Donald J. Trump - REP,Donald J. Trump - CON,Joseph R. Biden - WOR,Howie Hawkins - GRE,Jo Jorgensen - LIB,Brock Pierce - IND,WriteIn,Blanks,Voids
Ballston 1,273,195,16,31,5,8,1,0,4,1
Ballston 2,485,412,58,18,7,20,6,0,5,2
Ballston 3,577,502,64,31,3,7,7,0,7,3
Ballston 4,428,316,48,16,3,11,5,0,3,4
Ballston 5,234,193,32,15,3,8,2,0,2,0
Ballston 6,622,538,71,31,3,12,7,0,7,6
Ballston 7,299,278,27,21,3,11,0,0,4,3
Ballston 8,264,319,33,17,1,10,1,0,2,3
Ballston 9,208,219,25,8,3,5,1,1,2,4
Charlton 1,390,431,47,17,2,18,2,0,3,4
Charlton 2,130,201,25,10,1,3,0,1,0,0
Charlton 3,263,263,36,12,6,12,4,0,2,1
Charlton 4,394,469,50,31,1,17,4,0,5,1
Clifton Park 1,388,279,46,32,1,11,0,0,2,0
Clifton Park 2,309,231,50,26,1,12,9,0,0,2
Clifton Park 3,258,183,27,6,2,6,2,0,0,2
Clifton Park 4,514,387,47,36,1,14,1,0,5,3
Clifton Park 5,129,144,25,9,2,6,1,0,2,0
Clifton Park 6,391,286,32,25,4,9,5,2,4,0
Clifton Park 7,216,129,18,7,1,2,2,0,4,1
Clifton Park 8,472,248,28,38,2,9,2,0,5,6
Clifton Park 9,208,98,7,11,0,6,1,0,1,1
Clifton Park 10,440,269,37,25,5,14,5,0,3,3
Clifton Park 11,414,260,28,17,0,14,4,0,3,5
Clifton Park 12,467,331,63,26,2,13,5,0,3,2
Clifton Park 13,341,232,31,23,0,3,1,1,1,7
Clifton Park 14,363,286,35,26,4,11,4,3,3,1
Clifton Park 15,475,340,30,20,4,11,4,1,7,3
Clifton Park 16,363,239,26,35,6,11,7,1,0,1
Clifton Park 17,282,160,23,12,2,3,4,0,1,2
Clifton Park 18,427,239,32,24,4,7,1,1,2,2
Clifton Park 19,409,256,43,15,5,6,2,1,4,4
Clifton Park 20,392,239,25,24,1,14,3,0,3,3
Clifton Park 21,467,287,44,22,4,10,1,0,2,3
Clifton Park 22,367,323,40,27,2,9,1,1,2,2
Clifton Park 23,330,255,36,23,1,4,4,0,5,2
Clifton Park 24,407,228,27,20,3,10,2,0,3,1
Clifton Park 25,430,300,46,18,1,7,4,1,0,3
Clifton Park 26,290,205,35,32,4,4,0,0,4,1
Clifton Park 27,301,311,52,22,0,18,1,0,3,0
Clifton Park 28,283,167,28,14,1,5,1,0,1,0
Clifton Park 29,416,289,31,32,4,12,3,0,0,1
Clifton Park 30,214,144,16,9,1,4,1,0,1,1
Clifton Park 31,522,366,49,27,9,12,6,2,2,3
Clifton Park 32,277,249,23,30,2,10,1,0,0,3
Clifton Park 33,375,271,33,26,0,12,3,0,1,4
Clifton Park 34,598,390,41,27,4,9,6,1,5,2
Corinth 1,175,291,32,10,3,10,2,0,1,1
Corinth 2,204,434,23,5,0,6,2,0,1,0
Corinth 3,187,314,25,10,4,6,5,0,1,2
